CVE,Date,CWE,Severity
CVE-2025-0168,2025-01-01T14:15:23.590,CWE-74;CWE-89,7.5
CVE-2025-22214,2025-01-02T04:15:06.277,CWE-89,4.3
CVE-2025-0171,2025-01-02T15:15:25.550,CWE-74;CWE-89,7.5
CVE-2025-0172,2025-01-02T16:15:09.103,CWE-74;CWE-89,7.5
CVE-2025-0173,2025-01-02T18:15:21.630,CWE-74;CWE-89,7.5
CVE-2025-0174,2025-01-03T01:15:08.100,CWE-74;CWE-89,6.5
CVE-2025-0175,2025-01-03T01:15:08.263,CWE-79;CWE-94,6.1
CVE-2025-0176,2025-01-03T02:15:07.870,CWE-74;CWE-89,7.5
CVE-2025-22275,2025-01-03T05:15:08.243,CWE-532,9.3
CVE-2025-21609,2025-01-03T17:15:09.147,CWE-459;CWE-552,9.1
CVE-2025-21610,2025-01-03T17:15:09.290,CWE-79,5.3
CVE-2025-0195,2025-01-03T18:15:17.317,CWE-74;CWE-89,6.5
CVE-2025-0196,2025-01-03T19:15:12.793,CWE-74;CWE-89,6.5
CVE-2025-0197,2025-01-03T20:15:28.873,CWE-74;CWE-89,6.5
CVE-2025-0198,2025-01-03T21:15:14.053,CWE-74;CWE-89,6.5
CVE-2025-22376,2025-01-03T22:15:07.917,CWE-338,5.3
CVE-2025-0199,2025-01-03T23:15:08.707,CWE-74;CWE-89,6.5
CVE-2025-22383,2025-01-04T02:15:06.797,CWE-79,4.6
CVE-2025-22384,2025-01-04T02:15:06.937,CWE-472;NVD-CWE-Other,7.5
CVE-2025-22385,2025-01-04T02:15:07.080,CWE-862,5.9
CVE-2025-22386,2025-01-04T02:15:07.230,CWE-613,7.3
CVE-2025-22387,2025-01-04T02:15:07.343,CWE-598;NVD-CWE-Other,7.5
CVE-2025-22388,2025-01-04T02:15:07.480,CWE-79,5.7
CVE-2025-22389,2025-01-04T02:15:07.600,CWE-434,8.0
CVE-2025-22390,2025-01-04T02:15:07.747,CWE-521,7.5
CVE-2025-0200,2025-01-04T03:15:07.020,CWE-74;CWE-89,6.5
CVE-2025-0201,2025-01-04T04:15:05.620,CWE-74;CWE-89,6.5
CVE-2025-0202,2025-01-04T05:15:07.660,CWE-73,5.5
CVE-2025-0203,2025-01-04T07:15:18.153,CWE-74;CWE-89,9.8
CVE-2025-0204,2025-01-04T08:15:06.923,CWE-74;CWE-89,9.8
CVE-2025-0205,2025-01-04T09:15:06.280,CWE-74;CWE-89,9.8
CVE-2025-0206,2025-01-04T12:15:24.830,CWE-266;CWE-284;NVD-CWE-noinfo,8.8
CVE-2025-0207,2025-01-04T13:15:07.383,CWE-74;CWE-89,9.8
CVE-2025-0208,2025-01-04T13:15:07.557,CWE-74;CWE-89,9.8
CVE-2025-0210,2025-01-04T14:15:22.590,CWE-74;CWE-89,9.8
CVE-2025-0211,2025-01-04T15:15:07.277,CWE-73;NVD-CWE-Other,9.8
CVE-2025-0212,2025-01-04T16:15:23.003,CWE-74;CWE-89,9.8
CVE-2025-0213,2025-01-04T17:15:06.743,CWE-284;CWE-434,9.8
CVE-2025-0214,2025-01-04T17:15:07.507,CWE-74;CWE-89,4.1
CVE-2025-0219,2025-01-05T06:15:05.183,CWE-79;CWE-94,2.4
CVE-2025-0220,2025-01-05T13:15:05.850,CWE-79;CWE-94,2.4
CVE-2025-0221,2025-01-05T15:15:17.473,CWE-404;CWE-476,5.5
CVE-2025-0222,2025-01-05T16:15:05.217,CWE-404;CWE-476,5.5
CVE-2025-0223,2025-01-05T16:15:05.497,CWE-404;CWE-476,5.5
CVE-2025-0224,2025-01-05T17:15:06.027,CWE-200;CWE-284,5.3
CVE-2025-0225,2025-01-05T17:15:06.620,CWE-23;CWE-25,4.3
CVE-2025-0226,2025-01-05T18:15:05.573,CWE-200;CWE-284,4.3
CVE-2025-0227,2025-01-05T18:15:06.570,CWE-200;CWE-284,4.3
CVE-2025-0228,2025-01-05T19:15:06.320,CWE-79;CWE-94,4.8
CVE-2025-0229,2025-01-05T20:15:05.383,CWE-74;CWE-89,9.8
CVE-2025-0230,2025-01-05T21:15:06.267,CWE-74;CWE-89,9.8
CVE-2025-0231,2025-01-05T22:15:05.540,CWE-74;CWE-89,8.8
CVE-2025-0232,2025-01-05T22:15:05.767,CWE-74;CWE-89,8.8
CVE-2025-0233,2025-01-05T23:15:07.320,CWE-74;CWE-89,9.8
CVE-2025-21604,2025-01-06T16:15:30.927,CWE-328,6.9
CVE-2025-21611,2025-01-06T16:15:31.413,CWE-285,8.8
CVE-2025-21612,2025-01-06T16:15:31.633,CWE-79;CWE-80,8.6
CVE-2025-21613,2025-01-06T17:15:47.043,CWE-88,9.8
CVE-2025-21614,2025-01-06T17:15:47.310,CWE-400,7.5
CVE-2025-21615,2025-01-06T17:15:47.510,CWE-200,5.5
CVE-2025-21618,2025-01-06T17:15:47.660,CWE-287,7.5
CVE-2025-21617,2025-01-06T20:15:39.453,CWE-338,6.3
