CVE,Date,CWE,Severity
CVE-2025-0168,2025-01-01T14:15:23.590,CWE-74;CWE-89,7.5
CVE-2025-22383,2025-01-04T02:15:06.797,CWE-79,4.6
CVE-2025-0210,2025-01-04T14:15:22.590,CWE-74;CWE-89,9.8
CVE-2025-0231,2025-01-05T22:15:05.540,CWE-74;CWE-89,8.8
CVE-2025-22298,2025-01-07T11:15:13.783,CWE-862,4.3
CVE-2025-22324,2025-01-07T11:15:16.437,CWE-79,7.1
CVE-2025-22357,2025-01-07T11:15:19.013,CWE-79,7.1
CVE-2025-0246,2025-01-07T16:15:39.260,NVD-CWE-noinfo,6.5
CVE-2025-22517,2025-01-07T16:15:46.820,CWE-79,6.5
CVE-2025-22543,2025-01-07T16:15:49.830,CWE-862,5.4
CVE-2025-22562,2025-01-07T16:15:52.540,CWE-352,4.3
CVE-2025-22592,2025-01-07T16:15:55.470,CWE-862,7.5
CVE-2025-22133,2025-01-07T22:15:31.740,CWE-94;CWE-434,9.9
CVE-2025-0194,2025-01-08T20:15:29.193,CWE-538,6.5
CVE-2025-0341,2025-01-09T08:15:30.060,CWE-284;CWE-434,9.8
CVE-2025-22508,2025-01-09T16:16:27.433,CWE-98,8.1
CVE-2025-22806,2025-01-09T16:16:30.090,CWE-79,5.4
CVE-2025-22824,2025-01-09T16:16:32.893,CWE-79,6.5
CVE-2025-22946,2025-01-10T15:15:16.710,CWE-120,9.8
CVE-2025-0105,2025-01-11T03:15:22.317,CWE-73,6.9
CVE-2025-0400,2025-01-12T23:15:07.260,CWE-79;CWE-94,5.4
CVE-2025-22499,2025-01-13T14:15:10.960,CWE-79,7.1
CVE-2025-23027,2025-01-13T20:15:30.150,CWE-312,6.3
CVE-2025-0061,2025-01-14T01:15:16.500,CWE-497,9.1
CVE-2025-0393,2025-01-14T09:15:21.263,CWE-352,6.1
CVE-2025-21171,2025-01-14T18:15:30.100,CWE-122;NVD-CWE-noinfo,7.5
CVE-2025-21218,2025-01-14T18:15:33.370,CWE-400;NVD-CWE-noinfo,7.5
CVE-2025-21237,2025-01-14T18:15:36.983,CWE-122;NVD-CWE-noinfo,8.8
CVE-2025-21257,2025-01-14T18:15:43.990,CWE-125;NVD-CWE-noinfo,5.5
CVE-2025-21278,2025-01-14T18:15:48.480,CWE-362;NVD-CWE-noinfo,5.5
CVE-2025-21297,2025-01-14T18:15:51.890,CWE-416;NVD-CWE-noinfo,8.1
CVE-2025-21314,2025-01-14T18:15:55.163,CWE-451;NVD-CWE-noinfo,6.5
CVE-2025-21333,2025-01-14T18:15:58.530,CWE-122;NVD-CWE-noinfo,7.8
CVE-2025-21361,2025-01-14T18:16:01.637,CWE-641;NVD-CWE-noinfo,7.8
CVE-2025-21409,2025-01-14T18:16:04.673,CWE-122;NVD-CWE-noinfo,8.8
CVE-2025-21133,2025-01-14T19:15:34.187,CWE-191,7.8
CVE-2025-23013,2025-01-15T04:15:20.037,CWE-394,7.3
CVE-2025-0443,2025-01-15T11:15:10.483,CWE-79,8.8
CVE-2025-22738,2025-01-15T16:15:36.187,CWE-79,4.8
CVE-2025-22760,2025-01-15T16:15:38.890,CWE-79,6.1
CVE-2025-22787,2025-01-15T16:15:41.603,CWE-862,8.8
CVE-2025-0501,2025-01-15T19:15:27.190,CWE-295,7.5
CVE-2025-0170,2025-01-16T02:15:27.043,CWE-79,6.1
CVE-2025-20630,2025-01-16T19:15:30.110,CWE-1287,7.5
CVE-2025-23456,2025-01-16T20:15:36.247,CWE-352,7.1
CVE-2025-23532,2025-01-16T20:15:38.783,CWE-352,8.8
CVE-2025-23623,2025-01-16T20:15:41.480,CWE-79,7.1
CVE-2025-23677,2025-01-16T20:15:43.900,CWE-352,7.1
CVE-2025-23720,2025-01-16T20:15:46.397,CWE-352,7.1
CVE-2025-23785,2025-01-16T21:15:19.967,CWE-862,4.3
CVE-2025-23817,2025-01-16T21:15:22.560,CWE-352,7.1
CVE-2025-23844,2025-01-16T21:15:25.080,CWE-352,7.1
CVE-2025-23875,2025-01-16T21:15:28.323,CWE-352,7.1
CVE-2025-23900,2025-01-16T21:15:31.857,CWE-352,7.1
CVE-2025-23927,2025-01-16T21:15:34.507,CWE-79,6.5
CVE-2025-23955,2025-01-16T21:15:37.277,CWE-862,4.3
