CVE,Date,CWE,Severity
CVE-2025-0168,2025-01-01T14:15:23.590,CWE-74;CWE-89,7.5
CVE-2025-22828,2025-01-13T13:16:12.233,CWE-200,4.3
CVE-2025-0487,2025-01-15T21:15:15.160,CWE-74;CWE-89,9.8
CVE-2025-22553,2025-01-21T14:15:10.453,CWE-89,9.3
CVE-2025-24594,2025-01-24T18:15:36.330,CWE-862,6.5
CVE-2025-24099,2025-01-30T17:15:18.473,CWE-863,5.1
CVE-2025-20204,2025-02-05T17:15:26.077,CWE-79,4.8
CVE-2025-24412,2025-02-11T18:15:42.433,CWE-79,8.7
CVE-2025-0592,2025-02-14T21:15:16.543,CWE-924,8.8
CVE-2025-1467,2025-02-23T16:15:08.400,CWE-79,6.1
CVE-2025-21786,2025-02-27T03:15:19.450,CWE-416,7.8
CVE-2025-23762,2025-03-03T14:15:46.860,CWE-79,7.1
CVE-2025-22447,2025-03-06T04:15:25.377,CWE-276,N/A
CVE-2025-24075,2025-03-11T17:16:30.270,CWE-121,7.8
CVE-2025-27593,2025-03-14T13:15:40.437,CWE-494,9.3
CVE-2025-0452,2025-03-20T10:15:52.890,CWE-73,N/A
CVE-2025-27810,2025-03-25T06:15:41.180,CWE-908,4.8
CVE-2025-30922,2025-03-27T11:15:52.917,CWE-79,6.5
CVE-2025-2980,2025-03-31T07:15:18.710,CWE-601,3.5
CVE-2025-1986,2025-04-01T06:15:48.047,CWE-89,4.1
CVE-2025-30580,2025-04-01T21:15:44.590,CWE-94,10.0
CVE-2025-2244,2025-04-04T10:15:16.580,CWE-502,9.8
CVE-2025-32034,2025-04-07T21:15:43.690,CWE-770,7.5
CVE-2025-31672,2025-04-09T12:15:15.563,CWE-20;NVD-CWE-noinfo,5.3
CVE-2025-32633,2025-04-11T09:15:34.130,CWE-22,8.6
CVE-2025-26903,2025-04-15T22:15:17.787,CWE-352,4.3
CVE-2025-31200,2025-04-16T19:15:54.540,CWE-787;CWE-119,9.8
CVE-2025-1863,2025-04-18T06:15:42.357,CWE-1188,9.8
CVE-2025-3902,2025-04-23T17:16:55.983,CWE-79,6.1
CVE-2025-4012,2025-04-28T09:15:21.910,CWE-918,7.5
CVE-2025-37772,2025-05-01T14:15:40.580,CWE-476,5.5
CVE-2025-4331,2025-05-06T08:15:17.810,CWE-74;CWE-89,9.8
CVE-2025-20200,2025-05-07T18:15:40.667,CWE-754,8.2
CVE-2025-4541,2025-05-11T16:15:50.760,CWE-74;CWE-89,8.8
CVE-2025-20057,2025-05-13T21:16:05.653,CWE-400,3.5
CVE-2025-31915,2025-05-16T16:15:37.817,CWE-352,5.4
CVE-2025-39398,2025-05-19T18:15:29.040,CWE-862,4.3
CVE-2025-47947,2025-05-21T22:15:50.963,CWE-1050,7.5
CVE-2025-40666,2025-05-26T13:15:20.440,CWE-89,9.8
CVE-2025-2503,2025-05-30T20:15:42.563,CWE-732,7.1
CVE-2025-48962,2025-06-04T14:15:29.983,CWE-918,N/A
CVE-2025-49240,2025-06-06T13:15:41.483,CWE-862,4.3
CVE-2025-5901,2025-06-09T23:15:22.433,CWE-119;CWE-120,8.8
CVE-2025-46975,2025-06-10T23:15:41.943,CWE-79,5.4
CVE-2025-3234,2025-06-14T06:15:18.117,CWE-434,7.2
CVE-2025-38037,2025-06-18T10:15:36.030,N/A,N/A
CVE-2025-6373,2025-06-21T00:15:22.420,CWE-119;CWE-121,8.8
CVE-2025-6445,2025-06-25T18:15:24.610,CWE-22,8.1
CVE-2025-44559,2025-06-27T17:15:33.290,CWE-400,6.5
CVE-2025-34074,2025-07-02T20:15:29.410,CWE-94;CWE-829,9.4
CVE-2025-1317,2025-07-05T23:15:24.760,N/A,N/A
CVE-2025-40716,2025-07-08T12:15:22.660,CWE-89,9.8
CVE-2025-38257,2025-07-09T11:15:27.993,N/A,N/A
